ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.11.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.11.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.11.0,true,package,package.architecture,keyword,extended,,x86_64,Package architecture.
8.11.0,true,package,package.category,keyword,custom,,,Package category or group
8.11.0,true,package,package.description,keyword,extended,,Open source programming language to build simple/reliable/efficient software.,Description of the package.
8.11.0,true,package,package.installed,date,extended,,,Time when package was installed.
8.11.0,true,package,package.multiarch,keyword,custom,,,Whether the package is built for a foreign architecture
8.11.0,true,package,package.name,keyword,extended,,go,Package name
8.11.0,true,package,package.path,keyword,extended,,/usr/local/Cellar/go/1.12.9/,Path where the package is installed.
8.11.0,true,package,package.priority,keyword,custom,,,Package priority
8.11.0,true,package,package.size,long,extended,,62231,Package size in bytes.
8.11.0,true,package,package.source,keyword,custom,,,Package source
8.11.0,true,package,package.type,keyword,extended,,rpm,Package type
8.11.0,true,package,package.vendor,keyword,custom,,,Vendor or maintainer of the package
8.11.0,true,package,package.version,keyword,extended,,1.12.9,Package version
8.11.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
8.11.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
8.11.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
